# Every Visual FoxPro base class, as the product itself answers about it: what an object of
# it holds, and what it answers to. Read by crates/foxvm/src/base_classes.rs.
#
# Generated by `node scripts/gen-base-classes.mjs`; the measurement it comes from is
# tests/reference/vfp-base-classes.tsv. A property with type "-" is one whose value is not a
# constant, so it is a member with nothing stored behind it, and readonly is the error the
# product raises for one it refuses to have written to.
class	kind	name	type	default	readonly
Form	class				
Form	property	AllowOutput	L	.T.	
Form	property	AlwaysOnBottom	L	.F.	
Form	property	AlwaysOnTop	L	.F.	
Form	property	AutoCenter	L	.F.	
Form	property	BackColor	N	15790320	
Form	property	BaseClass	C	Form	1743
Form	property	BindControls	L	.T.	
Form	property	BorderStyle	N	3	
Form	property	BufferMode	N	0	
Form	property	Caption	C	Form	
Form	property	Class	C	Form	1743
Form	property	ClassLibrary	C		1743
Form	property	ClipControls	L	.T.	
Form	property	Closable	L	.T.	
Form	property	ColorSource	N	4	
Form	property	Comment	C		
Form	property	ContinuousScroll	L	.T.	
Form	property	ControlBox	L	.T.	
Form	property	ControlCount	N	0	1743
Form	property	CURRENTX	N	0	
Form	property	CURRENTY	N	0	
Form	property	DataSession	N	1	1743
Form	property	DataSessionID	N	1	
Form	property	DEClass	C		1743
Form	property	DEClassLibrary	C		1743
Form	property	DefOLELCID	N	0	
Form	property	Desktop	L	.F.	1743
Form	property	Dockable	N	0	
Form	property	Docked	L	.F.	1743
Form	property	DockPosition	N	-1	1743
Form	property	DrawMode	N	13	
Form	property	DrawStyle	N	0	
Form	property	DrawWidth	N	1	
Form	property	Enabled	L	.T.	
Form	property	FillColor	N	0	
Form	property	FillStyle	N	1	
Form	property	FontBold	L	.F.	
Form	property	FontCharSet	N	1	
Form	property	FONTCONDENSE	L	.F.	
Form	property	FONTEXTEND	L	.F.	
Form	property	FontItalic	L	.F.	
Form	property	FontName	C	Arial	
Form	property	FontOutline	L	.F.	
Form	property	FontShadow	L	.F.	
Form	property	FontSize	N	9	
Form	property	FontStrikethru	L	.F.	
Form	property	FontUnderline	L	.F.	
Form	property	ForeColor	N	0	
Form	property	HalfHeightCaption	L	.F.	
Form	property	Height	N	250	
Form	property	HelpContextID	N	0	
Form	property	HScrollSmallChange	N	10	
Form	property	Icon	C		
Form	property	KeyPreview	L	.F.	
Form	property	Left	N	0	
Form	property	LockScreen	L	.F.	
Form	property	MacDesktop	N	0	
Form	property	MaxButton	L	.T.	
Form	property	MaxHeight	N	-1	
Form	property	MaxLeft	N	-1	
Form	property	MaxTop	N	-1	
Form	property	MaxWidth	N	-1	
Form	property	MDIForm	L	.F.	
Form	property	MinButton	L	.T.	
Form	property	MinHeight	N	-1	
Form	property	MinWidth	N	-1	
Form	property	MouseIcon	C		
Form	property	MousePointer	N	0	
Form	property	Movable	L	.T.	
Form	property	Name	C	Form	
Form	property	OLEDragMode	N	0	
Form	property	OLEDragPicture	C		
Form	property	OLEDropEffects	N	3	
Form	property	OLEDropHasData	N	-1	
Form	property	OLEDropMode	N	0	
Form	property	ParentClass	C		1743
Form	property	Picture	C		
Form	property	ReleaseType	N	0	1743
Form	property	RightToLeft	L	.F.	
Form	property	ScaleMode	N	3	
Form	property	ScrollBars	N	0	
Form	property	ShowInTaskbar	L	.T.	1743
Form	property	ShowTips	L	.F.	
Form	property	ShowWindow	N	0	1743
Form	property	SizeBox	L	.F.	
Form	property	TabIndex	N	0	
Form	property	TabStop	L	.T.	
Form	property	Tag	C		
Form	property	Themes	L	.T.	
Form	property	TitleBar	N	1	
Form	property	Top	N	0	
Form	property	ViewPortHeight	N	250	1743
Form	property	ViewPortLeft	N	0	1743
Form	property	ViewPortTop	N	0	1743
Form	property	ViewPortWidth	N	375	1743
Form	property	Visible	L	.F.	
Form	property	VScrollSmallChange	N	10	
Form	property	WhatsThisButton	L	.F.	1743
Form	property	WhatsThisHelp	L	.F.	1743
Form	property	WhatsThisHelpID	N	-1	
Form	property	Width	N	375	
Form	property	WindowState	N	0	
Form	property	WindowType	N	0	
Form	property	ZoomBox	L	.F.	
Form	property	ActiveControl	-		
Form	property	ActiveForm	-		
Form	property	Application	-		
Form	property	Controls	-		
Form	property	hWnd	-		1743
Form	property	Objects	-		
Form	property	Parent	-		
Form	event	Activate			
Form	event	AfterDock			
Form	event	BeforeDock			
Form	event	Click			
Form	event	DblClick			
Form	event	Deactivate			
Form	event	Destroy			
Form	event	DragDrop			
Form	event	DragOver			
Form	event	Error			
Form	event	GotFocus			
Form	event	Init			
Form	event	KeyPress			
Form	event	Load			
Form	event	LostFocus			
Form	event	MiddleClick			
Form	event	MouseDown			
Form	event	MouseMove			
Form	event	MouseUp			
Form	event	MouseWheel			
Form	event	Moved			
Form	event	OLECompleteDrag			
Form	event	OLEDragDrop			
Form	event	OLEDragOver			
Form	event	OLEGiveFeedback			
Form	event	OLESetData			
Form	event	OLEStartDrag			
Form	event	Paint			
Form	event	QueryUnload			
Form	event	Resize			
Form	event	RightClick			
Form	event	Scrolled			
Form	event	UnDock			
Form	event	Unload			
Form	method	AddObject			
Form	method	AddProperty			
Form	method	Box			
Form	method	Circle			
Form	method	Cls			
Form	method	Dock			
Form	method	Draw			
Form	method	GetDockState			
Form	method	Hide			
Form	method	Line			
Form	method	Move			
Form	method	NEWOBJECT			
Form	method	OLEDrag			
Form	method	Point			
Form	method	Print			
Form	method	PSet			
Form	method	ReadExpression			
Form	method	ReadMethod			
Form	method	Refresh			
Form	method	Release			
Form	method	RemoveObject			
Form	method	ResetToDefault			
Form	method	SaveAs			
Form	method	SaveAsClass			
Form	method	SetAll			
Form	method	SetViewPort			
Form	method	Show			
Form	method	ShowWhatsThis			
Form	method	TextHeight			
Form	method	TextWidth			
Form	method	WhatsThisMode			
Form	method	WriteExpression			
Form	method	WriteMethod			
Form	method	ZOrder			
Label	class				
Label	property	Alignment	N	0	
Label	property	Anchor	N	0	
Label	property	AutoSize	L	.F.	
Label	property	BackColor	N	16777215	
Label	property	BackStyle	N	1	
Label	property	BaseClass	C	Label	1743
Label	property	BorderStyle	N	0	
Label	property	Caption	C	Label	
Label	property	Class	C	Label	1743
Label	property	ClassLibrary	C		1743
Label	property	ColorScheme	N	1	
Label	property	ColorSource	N	4	
Label	property	Comment	C		
Label	property	DisabledBackColor	N	16777215	
Label	property	DisabledForeColor	N	7171437	
Label	property	DragIcon	C		
Label	property	DragMode	N	0	
Label	property	Enabled	L	.T.	
Label	property	FontBold	L	.F.	
Label	property	FontCharSet	N	1	
Label	property	FONTCONDENSE	L	.F.	
Label	property	FONTEXTEND	L	.F.	
Label	property	FontItalic	L	.F.	
Label	property	FontName	C	Arial	
Label	property	FontOutline	L	.F.	
Label	property	FontShadow	L	.F.	
Label	property	FontSize	N	9	
Label	property	FontStrikethru	L	.F.	
Label	property	FontUnderline	L	.F.	
Label	property	ForeColor	N	0	
Label	property	Height	N	17	
Label	property	HelpContextID	N	0	
Label	property	Left	N	0	
Label	property	MouseIcon	C		
Label	property	MousePointer	N	0	
Label	property	Name	C	Label	
Label	property	OLEDragMode	N	0	
Label	property	OLEDragPicture	C		
Label	property	OLEDropEffects	N	3	
Label	property	OLEDropHasData	N	-1	
Label	property	OLEDropMode	N	0	
Label	property	ParentClass	C		1743
Label	property	RightToLeft	L	.F.	
Label	property	Rotation	N	0	
Label	property	StatusBarText	C		
Label	property	Style	N	0	
Label	property	TabIndex	N	0	
Label	property	Tag	C		
Label	property	ToolTipText	C		
Label	property	Top	N	0	
